0.txt,52,3-0;14-12;1-0;6-5;2-16;7-4;7-3;18-19
1.txt,65,8-14;18-9;17-4;13-8;1-0;18-6;15-11;5-2
2.txt,69,12-6;14-16;6-12;7-5;4-17;13-0;0-7;6-4
3.txt,88,13-11;7-5;2-18;13-18;5-10;0-13;15-15;17-13
4.txt,69,0-15;1-1;16-2;6-16;15-6;0-13;3-10;2-0
5.txt,72,5-13;12-15;11-10;9-3;10-17;16-15;0-4;6-0
