random_0.txt,25,0-2;7-6;8-7;6-6;8-6
random_1.txt,14,7-5;5-1;3-4;5-5;3-0
random_10.txt,20,7-0;7-7;5-3;0-1;3-2
random_100.txt,22,6-9;4-5;3-5;0-3;4-1
random_101.txt,26,9-6;2-0;9-8;5-0;0-0
random_102.txt,31,5-9;6-1;8-1;0-3;0-2
random_103.txt,24,8-5;8-9;1-6;6-5;8-3
random_104.txt,inf,0-6;9-0;2-2;1-6;8-6
random_105.txt,41,1-3;2-0;3-0;2-1;4-1
random_106.txt,inf,4-1;3-7;9-1;2-8;3-5
random_107.txt,19,6-0;8-7;8-4;1-6;1-5
random_108.txt,32,1-9;4-7;4-3;7-6;0-6
random_109.txt,19,6-2;5-1;0-4;7-9;6-0
random_11.txt,19,5-1;9-2;4-3;0-7;0-6
random_110.txt,20,7-3;4-0;8-6;1-6;8-8
random_111.txt,42,8-3;1-0;5-2;9-4;0-4
random_112.txt,16,6-0;7-2;2-0;6-9;2-1
random_113.txt,34,1-8;8-6;8-7;7-6;0-9
random_114.txt,17,9-2;8-0;4-6;3-2;2-7
random_115.txt,37,8-7;2-6;8-9;0-7;7-7
